🕘️更新时间,#genre#
2025-12-31 18:26:47,https://bxtv.3a.ink/mytv/mytvts3.333.php?id=cctv1

📺央视频道,#genre#
CCTV-1,https://bxtv.3a.ink/mytv/mytvts3.333.php?id=cctv1
CCTV-1,http://39.152.103.17:8089/tsfile/live/1000_1.m3u8
CCTV-2,http://27.41.245.32:801/hls/2/index.m3u8
CCTV-2,http://39.152.103.17:8089/tsfile/live/1001_1.m3u8
CCTV-3,http://bxtv.3a.ink/mytv/mytvts3.333.php?id=cctv3
CCTV-3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8
CCTV-4,http://yp.qqqtv.top/1/api.php?id=CCTV-4HD&auth=666858
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV-4,http://182.91.124.60:8801/tsfile/live/1040_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4,http://39.152.103.17:8089/tsfile/live/1003_1.m3u8
CCTV-5,http://yp.qqqtv.top/1/api.php?id=CCTV-5%2BHD&auth=666858
CCTV-5,http://tvlist.top/jd/index.php?id=cctv5&qt=183.224.122.114:8014
CCTV-5,http://27.41.245.32:801/hls/5/index.m3u8
CCTV-5,http://39.152.103.17:8089/tsfile/live/1004_1.m3u8
CCTV-6,http://yp.qqqtv.top/1/api.php?id=CCTV-6HD&auth=666858
CCTV-6,http://27.41.245.32:801/hls/6/index.m3u8
CCTV-6,http://39.152.103.17:8089/tsfile/live/1005_1.m3u8
CCTV-7,http://yp.qqqtv.top/1/api.php?id=CCTV-7HD&auth=666858
CCTV-7,http://27.41.245.32:801/hls/7/index.m3u8
CCTV-7,http://39.152.103.17:8089/tsfile/live/1006_1.m3u8
CCTV-8,http://27.41.245.32:801/hls/8/index.m3u8
CCTV-8,http://39.152.103.17:8089/tsfile/live/1007_1.m3u8

📡卫视频道,#genre#
广东卫视,http://shuangyashan.coccc.online:65000/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://btjg.net:809/hls/32/index.m3u8
广东卫视,http://39.152.103.17:8089/tsfile/live/1042_1.m3u8
广东卫视,http://rihou.cc:555/tv/[AtI]广东卫视
浙江卫视,http://112.132.10.54:9901/tsfile/live/1007_1.m3u8
浙江卫视,http://27.41.245.32:801/hls/58/index.m3u8
浙江卫视,http://shuangyashan.coccc.online:65000/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://btjg.net:809/hls/29/index.m3u8
